Gene,Diseases
ABCC4,ABCC4-related disorder; Prostate cancer
ABCG2,"ABCG2-related disorder; BLOOD GROUP, JUNIOR SYSTEM; Gemcitabine response; Hereditary breast ovarian cancer syndrome; URIC ACID CONCENTRATION, SERUM, QUANTITATIVE TRAIT LOCUS 1; rosuvastatin response - Efficacy; rosuvastatin response - Metabolism/PK"
ABL1,"ABL1-related congenital heart defects and skeletal malformations syndrome; ABL1-related disorder; Abnormal skeletal morphology; Cardiomyopathy; Chronic myelogenous leukemia, BCR-ABL1 positive; Cleft palate; Congenital heart defects and skeletal malformations syndrome; Congenital heart disease; Developmental disorder; Failure to thrive; Inborn genetic diseases; Leukemia, Philadelphia chromosome-positive, resistant to imatinib; Lip and oral cavity carcinoma; Microcephaly; Moyamoya angiopathy; Neurodevelopmental abnormality"
ACTR1A,NA
ACVR1,ACVR1-related disorder; Congenital heart disease; Epicanthus; Inborn genetic diseases; Multiple congenital anomalies/dysmorphic syndrome; Progressive myositis ossificans
ACVR1B,Carcinoma of pancreas; Dextro-looped transposition of the great arteries
ACVR2A,NA
ADAMTSL4-AS1,NA
ADGRA2,Ependymoma
AGO2,AGO2-related disorder; Inborn genetic diseases; Lessel-Kreienkamp syndrome; Neurodevelopmental disorder; Premature ovarian failure 3
AIM1L,NA
AIMP2,"AIMP2-related disorder; Inborn genetic diseases; Leukodystrophy, hypomyelinating, 17; Neurodevelopmental abnormality"
AKT1,AKT1-related disorder; Breast adenocarcinoma; Carcinoma of colon; Colorectal cancer; Cowden syndrome 6; Familial cancer of breast; Hereditary cancer; Inborn genetic diseases; Lung adenocarcinoma; Ovarian cancer; Ovarian neoplasm; Proteus syndrome; Schizophrenia; See cases; Squamous cell carcinoma
AKT2,AKT2-related disorder; Hypoinsulinemic hypoglycemia and body hemihypertrophy; Inborn genetic diseases; Type 2 diabetes mellitus
ALK,"ALK-related disorder; Diffuse midline glioma, H3 K27-altered; Diffuse pediatric-type high-grade glioma, H3-wildtype and IDH-wildtype; Familial isolated pituitary adenoma; Hereditary cancer-predisposing syndrome; Lung adenocarcinoma; Lung cancer; Multiple endocrine neoplasia type 2A; Neuroblastoma; Neuroblastoma, susceptibility to, 3; Ovarian cancer; Phonic tics; Pseudo-fractures; Rhabdomyosarcoma; Squamous cell lung carcinoma"
ALOX12B,ALOX12B-related disorder; Autosomal recessive congenital ichthyosis; Autosomal recessive congenital ichthyosis 2; Congenital ichthyosiform erythroderma; Congenital nonbullous ichthyosiform erythroderma; Ichthyosis; Ichthyosis and erythrokeratoderma; Inborn genetic diseases; Lamellar ichthyosis; Leukoencephalopathy with calcifications and cysts; Palmoplantar keratodermas; See cases
ALS2CR12,NA
ANKRD11,"ANKRD11-related disorder; Abnormal facial shape; Abnormality of the nervous system; Astigmatism; Atypical behavior; Autism spectrum disorder; Chromatinopathy; Clinodactyly of the 5th finger; Conductive hearing impairment; Cryptorchidism; Decreased total neutrophil count; Delayed speech and language development; Developmental disorder; Dystonia, early-onset, and/or spastic paraplegia; EBV-positive nodal T- and NK-cell lymphoma; Encephalopathy, progressive, early-onset, with episodic rhabdomyolysis; Epicanthus; Epilepsy; Esotropia; Global developmental delay; Hand tremor; Hypermetropia; Hypertelorism; Inborn genetic diseases; Intellectual disability; KBG syndrome; Macrocephaly; Moderate intellectual deficiency; Monogenic short statue; Multiple congenital anomalies/dysmorphic syndrome; Neurodevelopmental abnormality; Neurodevelopmental delay; Neurodevelopmental disorder; Obesity; Ptosis; Rare genetic intellectual disability; Retrognathia; See cases; Seizure; Short foot; Short palm; Sudden unexplained death in childhood; Unilateral cryptorchidism; Vascular disorder; Wide nasal bridge"
ANKRD49,NA
AR,"AR-related disorder; Absent axillary hair; Absent pubic hair; Androgen insensitivity, partial, with breast cancer; Androgen resistance syndrome; Aplasia of the uterus; Castleman-Kojima disease; Complete androgen insensitivity syndrome; Differences in sex development; Disorder of sexual differentiation; Familial prostate cancer; Female external genitalia in individual with 46,XY karyotype; Hypospadias 1, X-linked; Inborn genetic diseases; Kennedy disease; Male infertility; Male infertility with azoospermia or oligozoospermia due to single gene mutation; Non-obstructive azoospermia; Ovarian cancer; Partial androgen insensitivity syndrome; Posterior hypospadias; Prostate cancer; Prostate cancer susceptibility; Prostate cancer, hereditary, X-linked 3; Prostate cancer, somatic; Pure gonadal dysgenesis 46,XY; See cases"
ARAF,ARAF-related disorder; Lymphatic anomaly
ARFRP1,NA
ARHGAP9,"Coronary artery spasm 3, susceptibility to"
ARID1B,"ARID1B-Related Disorder; ARID1B-related BAFopathy; Abnormal speech pattern; Absent speech; Astrocytoma; Autism spectrum disorder; Autosomal dominant ARID1B-related disorders; Bilateral cryptorchidism; Blepharophimosis; Coffin Siris/Intellectual Disability; Coffin-Siris syndrome; Coffin-Siris syndrome 1; Congenital cerebellar hypoplasia; Constipation; Corpus callosum, agenesis of; Decreased body weight; Delayed speech and language development; Developmental disorder; Epilepsy; Failure to thrive; Global developmental delay; Hereditary ataxia; Hirsutism; Hypertrichosis; Inborn genetic diseases; Intellectual disability; Long eyelashes; Marfanoid habitus and intellectual disability; Medulloblastoma; Metabolic disease; Microcephaly; Moderate intellectual disability; Nail dysplasia; Neonatal hypotonia; Neurodevelopmental abnormality; Neurodevelopmental delay; Neurodevelopmental disorder; Neurofibromatosis, type 1; Nicolaides-Baraitser syndrome; Noonan syndrome; Pituitary stalk interruption syndrome; Rare genetic intellectual disability; Recurrent respiratory infections; Schizophrenia; See cases; Seizure; Severe combined immunodeficiency due to DCLRE1C deficiency; Short stature; Thick lower lip vermilion; Thin upper lip vermilion; Wiedemann-Steiner syndrome; dysmorphy; intellectual deficiency"
ARID2,"ARID2-related BAFopathy; ARID2-related disorder; Autism spectrum disorder; Castleman-Kojima disease; Chronic diarrhea; Coffin-Siris syndrome; Coffin-Siris syndrome 1; Coffin-Siris syndrome 6; Desmoplastic/nodular medulloblastoma; Developmental disorder; Dystonia, early-onset, and/or spastic paraplegia; Inborn genetic diseases; Microcephaly; Neurodevelopmental abnormality; Neurodevelopmental delay; Neurodevelopmental disorder; See cases"
ARID5B,ARID5B-related disorder; Abnormality of mouth size; Blue sclerae; Delayed speech and language development; Fetal growth restriction; Global developmental delay; Pes valgus; Prominent forehead; Retrognathia
